0,LetsGo Company,ESPAÑA,2006-04-30,34975957941
1,Live Nation,ESTADOS UNIDOS,1998-09-08,154154674
2,Janos Eventos,ARGENTINA,1983-12-11,54950400756
3,fullevent.de,ALEMANIA,2005-06-08,4996934169
4,B+D Events,ALEMANIA,1992-06-03,4980743450
5,PROSPERO PRODUCCIONES ,ARGENTINA,1982-10-09,54981121681
6,Producciones oz limitada,CHILE,1982-04-05,56944340617
7,Dnj Producciones,COLOMBIA,2003-06-18,57944470684
8,ESPECTACULOS GALLO ,ARGENTINA,2008-12-02,54980230860
9,Eventveranstalter Hamburg,ALEMANIA,1984-12-11,4988688472
10,Bizarro producciones limitada,CHILE,1992-12-15,56924563324
11,Sony music entertainment chile s.a.,CHILE,1987-04-30,56962981007
12,Sach producciones y eventos limitada,CHILE,1996-08-23,56976265552
13,Multimusica s.a.,CHILE,1994-09-03,56979416582
14,Somosfk,BRASIL,2000-03-30,55942340495
15,efeunodos,COLOMBIA,1993-03-29,57939984095
16,Onanof producciones limitada,CHILE,2008-02-01,56918956533
17,Aguero producciones limitada,CHILE,1995-09-02,56928968013
18,Sono producciones limitada,CHILE,2001-03-27,56916684498
19,EL MAGNO PRODUCCIONES S.R.L. ,ARGENTINA,2002-05-24,54992630886
20,Arte3,CHILE,2002-02-22,56966931492
21,OZONO & PIEDRA MALA PRODUCCIONES ,ARGENTINA,1984-02-14,54985656767
22,Padrao Bull Prime,BRASIL,2010-03-20,55911684208
23,Cucarro producciones limitada ,CHILE,1997-08-24,56935039844
24,Bafochi ltda,CHILE,1987-12-15,56937657085
25,Yataco,ALEMANIA,2003-02-27,4941692395
26,Casa eventos,CHILE,1991-04-21,56914720995
27,Brasil Stands,BRASIL,1981-10-25,55926535235
28,German norambuena y cia ltda,CHILE,1996-12-16,56929345513
29,Your Dream,COLOMBIA,1987-02-01,57963294595
30,Rove.me,BELGICA,1985-08-11,3219126688
31,Charco booking spa,CHILE,2004-08-24,56941000398
32,Eventos flores y padilla limitada ,CHILE,2003-05-28,56983878758
33,Reverb - productora de eventos,CHILE,1988-09-17,56961939488
34,Bautrip,BELGICA,1988-07-26,3257121198
35,Somosfk,COLOMBIA,1982-12-23,57925172195
36,Expat,CANADA,2010-07-16,1376542840
37,Soc concesionaria arena bicentenario s a ,CHILE,2004-10-22,56992589376
38,Productora dreams pro limitada ,CHILE,1995-06-02,56979236210
39,AEG,ESTADOS UNIDOS,2007-11-06,138339286
40,Lotus sonar spa,CHILE,1989-01-23,56931548178
41,K PRODUCCIONES S.A.,ARGENTINA,1994-07-17,54989688585
42,Actitud creaciones,CHILE,1987-09-26,56945716004
43,Alva producciones ltda,CHILE,1987-08-06,56929039874
44,Eventos y banqueteria leonor contreras hormazabal e.i.r.l.,CHILE,1998-08-03,56962720080
45,Eventlocations Munchen,ALEMANIA,2005-11-04,4968413577
46,Horwath Productions INC.,ESTADOS UNIDOS,1985-04-07,166739809
47,AV Company,AUSTRALIA,1988-03-30,6177546140
48,Ecopass,CHILE,1999-02-12,56960875261
49,Litmind,ALEMANIA,1982-07-27,4921039439
50,Glamour,CHILE,1995-01-04,56966710743
51,Beone - entertainment limitada,CHILE,2001-10-17,56949887315
52,Backstage rockstore s.a.,CHILE,2006-11-21,56941637925
53,Revelation,ESTADOS UNIDOS,1987-04-26,156119884
54,Agencia 360,BRASIL,2001-08-23,55981319725
55,Grandes Eventos,ESPAÑA,2001-03-05,34986537886
56,Ditecsur,BRASIL,1994-12-28,55954347705
57,Expat,AUSTRALIA,1985-05-01,6143967797
58,Apparcel producciones limitada,CHILE,1988-07-03,56960436244
59,Merci entertainment spa ,CHILE,1985-06-13,56970483595
60,Audio Level Eventos,COLOMBIA,1993-05-23,57945999780
61,Rocko Saroni Eventos,COLOMBIA,1999-02-23,57995344929
62,Xceed,BELGICA,1992-11-10,3228194846
63,Dives eirl - productora de evento,CHILE,1991-01-27,56999613501
64,Eventos mudness limitada,CHILE,2000-04-12,56981981776
65,Blackgaton,BRASIL,2005-05-19,55987249505
66,CK Events Germany,ALEMANIA,2000-07-20,4957837295
67,Entertainment group,CHILE,1997-07-11,56935819988
68,Litmind,BELGICA,1992-02-20,3298627526
69,Producciones Walter Beat,COLOMBIA,1983-09-01,57916262938
70,Hartmann Studios,ESTADOS UNIDOS,1998-06-25,182398718
71,Productora de eventos moviefan limitada,CHILE,2010-10-13,56942080958
72,Andres gardeweg producciones e.i.r.l,CHILE,2002-05-21,56910425417
73,Meta proyectos sa,CHILE,1986-09-13,56940929599
74,Agosin eventos,CHILE,2000-05-27,56969057647
75,Comercial visto bueno producciones limitada,CHILE,1984-02-17,56987858010
76,Comercial caupolican limitada,CHILE,1988-12-04,56995147821
77,Eventos F.C,COLOMBIA,1997-04-19,57989921001
78,MD+,ARGENTINA,1993-06-21,54977219062
79,Carpas karen ltda,CHILE,2007-10-03,56968719305
80,Onlygroundmusic,COLOMBIA,1983-01-27,57968968795
81,GJ COMUNICACIONES,COLOMBIA,2000-04-15,57975125182
82,GL events,AUSTRALIA,2006-01-10,6127628376
83,K INTERNATIONAL ,ARGENTINA,1987-05-12,54995547149
84,Sonnica producciones,CHILE,1984-12-06,56974792305
85,Yataco,CANADA,2009-05-07,1487223027
86,Europages,ALEMANIA,2009-03-02,4958133005
87,Colors producciones limitada,CHILE,2005-08-23,56948771726
88,CONTENIDOS Y ENTRETENIMIENTOS S.A. ,ARGENTINA,1994-03-01,54957987145
89,Gn Producciones,COLOMBIA,2002-10-20,57974815035
90,CSI DMC,ESTADOS UNIDOS,2009-07-26,130566773
91,Energika eventos limitada,CHILE,1993-09-11,56937421120
92,Lotus producciones limitada,CHILE,2009-02-25,56991701110
93,Eventos luis maturana ortega e.i.r.l,CHILE,1987-01-15,56926172560
94,MCA,AUSTRALIA,1996-08-16,6178001589
95,Cultura ciudadana,CHILE,1999-11-14,56955784400
96,Grupo previa s.a.,CHILE,1986-12-03,56980793306
97,manatua.nz,NUEVA ZELANDA,2004-09-25,6436087029
98,Mundo Epika,BRASIL,1997-09-16,55922519509
99,Lets Dance,NUEVA ZELANDA,2005-12-26,6477349795
100,Comercial cueto balmaceda limitada,CHILE,2001-02-05,56946319019
101,Productora babilonia limitada,CHILE,1981-12-12,56968204722
102,T4F ENTRETENIMIENTOS ARGENTINA ,ARGENTINA,1985-03-12,54931160829
103,Entretenciones jovi limitada,CHILE,2009-07-14,56946191670
104,Event Management NZ,NUEVA ZELANDA,1987-10-28,6445721253
105,IndyRock,ESPAÑA,1994-05-25,34911917911
106,LA CRYPTA S.A. ,ARGENTINA,1981-08-11,54996544614
107,Canada Eventos,CANADA,2007-10-04,1457882270
108,Noix producciones limitada,CHILE,1982-03-27,56953718355
109,Productora energy in motion limitada,CHILE,2001-03-15,56935087505
110,MGC,ALEMANIA,1990-07-24,4985708353
111,TONICAS PRODUCCIONES ,ARGENTINA,1991-04-04,54969001174
112,ARIEL DIWAN PRODUCCIONES S.R.L. ,ARGENTINA,2002-06-09,54995594838
113,Yataco,BRASIL,1995-06-04,55959997398
114,Trimade eventos limitada ,CHILE,1985-06-06,56930524173
115,Huma Producciones,COLOMBIA,1993-12-29,57997410324
116,Ultrabeatman Entretenimiento Puro,BRASIL,2006-07-02,55946667054
117,Eventos luis maturana ortega e.i.r.l,CHILE,2005-11-18,56984565039
118,Urban Music,BRASIL,1997-12-04,55940395819
119,Glovox producciones limitada,CHILE,1988-05-28,56999913708
120,Capsule producciones spa,CHILE,1992-09-07,56936344167
121,FEG ENTRETENIMIENTOS ,ARGENTINA,1980-05-27,54942915097
122,Global Journey,BELGICA,1995-05-28,3249809958
123,Sydney WorldPride,AUSTRALIA,1994-11-10,6136289616
124,Producciones y eventos empire digital limitada,CHILE,2005-12-13,56939058051
125,LINO PATALANO ,ARGENTINA,1994-08-13,54985244788
126,YouTOOProject,AUSTRALIA,2002-11-10,6197338356
127,Centro de eventos dona sofia,CHILE,1987-01-02,56970591810
128,EL VASCO PRODUCCIONES ,ARGENTINA,2009-01-21,54932741531
129,Freedom Eventos,COLOMBIA,1995-07-27,57956812388
130,Privadate,COLOMBIA,2003-03-22,57930188930
131,Millie Millgate,AUSTRALIA,1990-07-09,6145268664
132,Sociedad comercial metapega producciones limitada,CHILE,1996-05-28,56911866081
133,El trebol,CHILE,1991-08-23,56911768392
134,Productora chile espectaculos,CHILE,2005-11-25,56915189726
135,Tolten eventos,CHILE,1983-11-13,56994508547
136,BRL Eventos,BRASIL,2010-10-15,55946915045
137,C&m musicos - musica y asesorias musicales,CHILE,2010-04-17,56982842595
138,Carlos alberto perez alegria productora de eventos e.i.r.l,CHILE,1980-09-12,56910378232
139,Producciones musicales massivo reccords limitada,CHILE,1985-05-08,56921335246
140,KahnEvents GmbH,ALEMANIA,1983-11-05,4948350929
141,Actividades de entretenimiento n.c. p fabiola patricia fabres cerda em ,CHILE,2010-09-11,56961071697
142,Recreo producciones spa,CHILE,2001-05-10,56986784895
143,Eventos mudness limitada,CHILE,2005-08-13,56937637012
144,Kibon video,CHILE,2001-03-23,56992881968
